epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.61584,1.45482,3.79636,1.7426,0.56374,0.85,0.87819,0.63507,1.66091,1.07852,1.38658,0,0,0
2,10.3107,0.75569,4.0173,1.19072,0.57416,0.85,0.87704,0.61838,1.67726,1.07783,1.38815,1.17822e-06,1.17822e-06,1.17822e-06
3,11.9116,1.01987,2.38877,1.35487,0.56425,0.85,0.85028,0.61952,1.67835,1.06516,1.38477,2.33288e-06,2.33288e-06,2.33288e-06
4,13.4129,1.2101,2.48724,1.46113,0.55937,0.85,0.84889,0.63565,1.68168,1.06338,1.38603,3.46397e-06,3.46397e-06,3.46397e-06
5,14.8617,0.76052,1.97611,1.15788,0.55404,0.85,0.85349,0.63748,1.69332,1.0679,1.39108,4.5715e-06,4.5715e-06,4.5715e-06
6,16.3796,0.98867,2.41136,1.2414,0.53214,0.85,0.85614,0.63029,1.70193,1.08159,1.39656,5.65548e-06,5.65548e-06,5.65548e-06
7,18.0207,1.13804,2.57038,1.49835,0.53641,0.85,0.89135,0.6328,1.68304,1.07192,1.37576,6.71588e-06,6.71588e-06,6.71588e-06
8,19.6859,1.18083,3.33717,1.62671,0.53879,0.85,0.86882,0.62787,1.66776,1.0704,1.36593,7.75273e-06,7.75273e-06,7.75273e-06
9,21.4415,1.27685,2.52743,1.44593,0.56315,0.85736,0.8564,0.62275,1.68135,1.07024,1.37102,8.76602e-06,8.76602e-06,8.76602e-06
10,23.1602,1.18263,2.17136,1.46025,0.5707,0.85896,0.85694,0.6225,1.67316,1.07077,1.36691,9.75574e-06,9.75574e-06,9.75574e-06
11,24.8331,1.06071,2.07035,1.40026,0.58856,0.85959,0.82438,0.60776,1.67783,1.09167,1.37033,1.07219e-05,1.07219e-05,1.07219e-05
12,26.4364,1.10196,1.81343,1.42138,0.58914,0.85716,0.81184,0.6073,1.677,1.09813,1.36824,1.16645e-05,1.16645e-05,1.16645e-05
13,28.0054,1.07909,2.37721,1.51224,0.58928,0.86667,0.8137,0.60266,1.66985,1.10104,1.36261,1.25835e-05,1.25835e-05,1.25835e-05
14,29.4798,1.10038,3.42062,1.43118,0.57379,0.86667,0.81382,0.60204,1.6501,1.10257,1.35295,1.3479e-05,1.3479e-05,1.3479e-05
15,30.9622,1.0302,1.9333,1.37546,0.58222,0.86667,0.84564,0.59442,1.64977,1.11018,1.35313,1.43509e-05,1.43509e-05,1.43509e-05
16,32.419,0.91583,2.05653,1.32684,0.57631,0.86667,0.84481,0.60083,1.65542,1.12494,1.35763,1.51993e-05,1.51993e-05,1.51993e-05
17,33.9331,0.77833,1.82092,1.25896,0.58731,0.86667,0.84328,0.61701,1.65334,1.13336,1.35837,1.60241e-05,1.60241e-05,1.60241e-05
18,35.3882,1.14386,2.40271,1.48878,0.58731,0.86667,0.84328,0.61701,1.65334,1.13336,1.35837,1.68253e-05,1.68253e-05,1.68253e-05
19,36.8673,1.54702,1.59284,1.98975,0.61555,0.7,0.87216,0.63831,1.67098,1.16598,1.37415,1.7603e-05,1.7603e-05,1.7603e-05
20,38.4125,0.83934,1.61453,1.28106,0.61555,0.7,0.87216,0.63831,1.67098,1.16598,1.37415,1.83571e-05,1.83571e-05,1.83571e-05
21,39.9458,0.99174,1.70534,1.21678,0.62288,0.7,0.86579,0.61958,1.67443,1.19278,1.38174,1.90876e-05,1.90876e-05,1.90876e-05
22,41.4594,1.03493,2.34275,1.37807,0.62288,0.7,0.86579,0.61958,1.67443,1.19278,1.38174,1.97946e-05,1.97946e-05,1.97946e-05
23,42.9456,0.87608,1.20256,1.18384,0.73586,0.65,0.87131,0.61776,1.67814,1.23548,1.39251,2.0478e-05,2.0478e-05,2.0478e-05
24,44.3682,0.97254,2.11684,1.4319,0.73586,0.65,0.87131,0.61776,1.67814,1.23548,1.39251,2.11379e-05,2.11379e-05,2.11379e-05
25,45.8357,1.01319,1.84839,1.36129,0.73547,0.65,0.85518,0.59575,1.6699,1.2657,1.39034,2.17741e-05,2.17741e-05,2.17741e-05
